product_id,product,salesprice,salespricerrp,sizevalue,sizeunit,isWeighted,bcrs,country,category,labels
20986,Chrys Gem In Pot,5.86,5.86,1.0,p,False,False,,fruitsandvegetables,Flowers; Fruits and Vegetables
21019,Plum Vine Tomatoes,5.31,5.31,1.0,kg,True,False,,fruitsandvegetables,Weighted Vegetables; Fruits and Vegetables; Vegetables
21058,Yellow French Beans By Kg,16.13,16.13,1.0,kg,True,False,,fruitsandvegetables,Weighted Vegetables; Fruits and Vegetables; Vegetables
21067,Mango Smoothie,2.95,2.95,1.0,p,False,False,,fruitsandvegetables,Other Vegetables; Fruits and Vegetables; Vegetables
21069,Shredded Tri Colori X300g,1.98,1.98,0.2,p,False,False,Italia,fruitsandvegetables,Fruit and Vegetable (Freshly Cut); Fresh Cut Fruit and Vegetables; Fruits and Vegetables
21072,Calat Ov,10.1,10.1,1.0,p,False,False,,fruitsandvegetables,Flowers; Fruits and Vegetables
21086,Pomegranate Seed,3.95,3.95,1.0,p,False,False,,fruitsandvegetables,Other Vegetables; Fruits and Vegetables; Vegetables
21091,Ginger & Turmeric Shots 150ml,2.75,2.75,1.0,p,False,False,,fruitsandvegetables,Other Vegetables; Fruits and Vegetables; Vegetables
21113,Carrots With Leafs,2.06,2.06,1.0,kg,False,False,,fruitsandvegetables,Other Vegetables; Fruits and Vegetables; Vegetables
21142,Turnips ( Foreign Turnips ),2.19,2.19,1.0,kg,True,False,,fruitsandvegetables,Weighted Vegetables; Fruits and Vegetables; Vegetables
21183,Apples ( Golden Delicious Apples ) By Kg,2.82,2.82,1.0,kg,True,False,,fruitsandvegetables,Apples and Pears; Fruit; Fruits and Vegetables
21195,Pineapple ( Peeled Pineapple ),3.75,3.75,1.0,p,False,False,,fruitsandvegetables,Fruit; Pineapple; Fruits and Vegetables
21208,Sliced Red Onions 500g,1.75,1.75,0.5,kg,False,False,,fruitsandvegetables,Other Vegetables; Fruits and Vegetables; Vegetables
21261,Marjoram In Pot,4.2,4.2,1.0,p,False,False,,fruitsandvegetables,Herbs Spices and Cubes; Herbs; Fruits and Vegetables
21297,Figs ( Fresh Figs ) By Kg,33.82,33.82,1.0,kg,True,False,,fruitsandvegetables,Fruit; Organic Fruit; Fruits and Vegetables
21324,Ro Am Inf Soft Pink,7.93,7.93,1.0,p,False,False,,fruitsandvegetables,Flowers; Fruits and Vegetables
21325,Toffee & Cinnamon Apple Granola Cup,2.45,2.45,1.0,p,False,False,,fruitsandvegetables,Other Vegetables; Fruits and Vegetables; Vegetables
21338,Baby Roses Plantx12,55.0,55.0,1.0,p,False,False,,fruitsandvegetables,Flowers; Fruits and Vegetables
21350,Pachira Aquatica,15.13,15.13,1.0,p,False,False,,fruitsandvegetables,Flowers; Fruits and Vegetables
21360,Duck Bao Buns,7.45,7.82,1.0,p,False,False,,fruitsandvegetables,Other Vegetables; Fruits and Vegetables; Vegetables
21388,Yellow Tomatoes,6.19,6.19,1.0,kg,True,False,,fruitsandvegetables,Tomatoes; Fruits and Vegetables; Vegetables
21427,Pteris Straminea,9.62,9.62,1.0,p,False,False,,fruitsandvegetables,Flowers; Fruits and Vegetables
21439,Mill Kcina Taz Zija Freskezza Spinach 300g,2.74,2.85,0.3,p,False,False,,fruitsandvegetables,Salads; Mil-Kcina Taz-Zija; Other Pre-Packed Salads; Fruits and Vegetables
21460,Figs Smoothie,2.95,2.95,1.0,p,False,False,,fruitsandvegetables,Other Vegetables; Fruits and Vegetables; Vegetables
21464,Herbs ( Fresh Thyme ) Pkts,1.45,1.45,1.0,p,False,False,,fruitsandvegetables,Herbs Spices and Cubes; Herbs; Fruits and Vegetables
21478,Baby Spinach 350g,5.5,5.5,1.0,kg,False,False,,fruitsandvegetables,Salads; Other Pre-Packed Salads; Fruits and Vegetables
21503,Mustard Ground 350g,4.35,4.35,0.35,kg,False,False,,fruitsandvegetables,Herbs Spices and Cubes; Herbs; Fruits and Vegetables
21531,Grapefruit Juice 250ml,2.58,2.58,1.0,p,False,False,,fruitsandvegetables,Other Vegetables; Fruits and Vegetables; Vegetables
21532,Arr  Strelitzia L%,15.38,15.38,1.0,p,False,False,,fruitsandvegetables,Flowers; Fruits and Vegetables
21535,Beg Du Gem,7.81,7.81,1.0,p,False,False,,fruitsandvegetables,Flowers; Fruits and Vegetables
