PART_NUMBER,PART_DESCRIPTION,GROUP_1,GROUP_2,GROUP_3,GROUP_4,GROUP_5,SALES_PRICE,SALES_PRICE_RRP,UOM,SIZE_VALUE,SIZE_UOM,ITEM_TYPE,CUSTOM_WEIGHT,COUNTRY_OF_ORIGIN,BCRS,Image,scrape_tag
2481224,Bbq Chicken Legs,Butcher,Chicken,Fresh Chicken,,Refrigerated,6.0,6.0,Each,1.0,kg,Weighted,300;600;900,,No,https://www.greens.com.mt/media/products/0132/2481224.jpg,butcher
2480137,Bbq Whole Chicken,Butcher,Chicken,Fresh Chicken,,Refrigerated,5.7,5.7,Each,1.0,kg,Weighted,,,No,https://www.greens.com.mt/media/products/noimages.jpg,butcher
2481528,Beef Bones,Butcher,Beef,Fresh Beef,,Refrigerated,4.2,4.2,Each,1.0,kg,Weighted,,,No,https://www.greens.com.mt/media/products/0132/2481528.jpg,butcher
2480316,Beef Bragioli,Butcher,Beef,Fresh Beef,,Refrigerated,11.99,11.99,Each,1.0,kg,Weighted,,United Kingdom,No,https://www.greens.com.mt/media/products/0343/2480316.jpg,butcher
2481523,Beef Meat Loaf,Butcher,Beef,Fresh Beef,,Refrigerated,13.5,13.5,Each,1.0,kg,Weighted,,Poland,No,https://www.greens.com.mt/media/products/0343/2481523.jpg,butcher
2481054,Beef Sausage,Butcher,Sausages,Fresh Sausages,,Refrigerated,10.99,10.99,Each,1.0,kg,Weighted,,Italia,No,https://www.greens.com.mt/media/products/noimages.jpg,butcher
2480222,Beef Tongue,Butcher,Beef,Fresh Beef,Greens Products,Refrigerated,13.64,13.64,Each,1.0,kg,Weighted,800;1600;3200,Malta,No,https://www.greens.com.mt/media/products/0134/2480222.jpg,butcher
2481502,Beef Topside,Butcher,Beef,Fresh Beef,Greens Products,Refrigerated,13.99,13.99,Each,1.0,kg,Weighted,200;300;400;500;600,Argentina,No,https://www.greens.com.mt/media/products/0132/2481502.jpg,butcher
2481541,Beef Trimmings,Butcher,Beef,Fresh Beef,Greens Products,Refrigerated,8.0,8.0,Each,1.0,kg,Weighted,,,No,https://www.greens.com.mt/media/products/0301/2481541.jpg,butcher
2481116,Beef Trotters,Butcher,Beef,Fresh Beef,,Refrigerated,4.0,4.0,Each,1.0,kg,Weighted,,,No,https://www.greens.com.mt/media/products/0133/2481116.jpg,butcher
2480026,Bio Chicken Breast,Butcher,Chicken,Fresh Chicken,Greens Products,Refrigerated,24.0,24.0,Each,1.0,kg,Weighted,400;800;1600;3200,Italia,No,https://www.greens.com.mt/media/products/1052/2480026.jpg,butcher
2480025,Bio Chicken Drumstick,Butcher,Chicken,Fresh Chicken,Greens Products,Refrigerated,12.95,12.95,Each,1.0,kg,Weighted,,Italia,No,https://www.greens.com.mt/media/products/0133/2480025.jpg,butcher
2480122,Bio Chicken Thighs,Butcher,Chicken,Fresh Chicken,Greens Products,Refrigerated,12.95,12.95,Each,1.0,kg,Weighted,500;600;700;800,,No,https://www.greens.com.mt/media/products/0323/2480122.jpg,butcher
2480361,Bocconcini Di Pollo Fritto,Butcher,Chicken,Frozen Chicken,Greens Products,Refrigerated,10.45,10.45,Each,1.0,kg,Stock,,Italia,No,https://www.greens.com.mt/media/products/noimages.jpg,butcher
2480608,Boned & Stuffed Turkey,Butcher,Turkey,Fresh Turkey,,Refrigerated,10.5,10.5,Each,1.0,kg,Weighted,,,No,https://www.greens.com.mt/media/products/0343/2480608.jpg,butcher
2481509,Braising Steak (brodu),Butcher,Beef,Fresh Beef,Greens Products,Refrigerated,13.5,13.5,Each,1.0,kg,Weighted,,Poland,No,https://www.greens.com.mt/media/products/0132/2481509.jpg,butcher
2481555,Brazil Beef Fillet,Butcher,Beef,Fresh Beef,,Refrigerated,55.0,55.0,Each,1.0,kg,Weighted,,,No,https://www.greens.com.mt/media/products/1110/2481555.jpg,butcher
2481404,Brazilian Sirloin,Butcher,Beef,Fresh Beef,Greens Products,Refrigerated,25.19,25.19,Each,1.0,p,Weighted,,,No,https://www.greens.com.mt/media/products/1201/2481404.jpg,butcher
2481510,Brisket Slow Roast,Butcher,Beef,Fresh Beef,,Refrigerated,13.65,13.65,Each,1.0,kg,Weighted,,France,No,https://www.greens.com.mt/media/products/0132/2481510.jpg,butcher
2481834,Busto Di Galina,Butcher,Other Butcher Items,Othe Fresh Butcher Items,Greens Products,Refrigerated,5.5,5.5,Each,1.0,kg,Weighted,1000;2000;3000,Italia,No,https://www.greens.com.mt/media/products/noimages.jpg,butcher
2481431,Canada Beef Ribs Aaa+,Butcher,Beef,Fresh Beef,,Refrigerated,26.2,26.2,Each,1.0,kg,Weighted,300;400;500;600,Canada,No,https://www.greens.com.mt/media/products/noimages.jpg,butcher
2481430,Canada Ribeye Aaa+,Butcher,Beef,Fresh Beef,,Refrigerated,68.95,68.95,Each,1.0,kg,Weighted,,Canada,No,https://www.greens.com.mt/media/products/0903/2481430.jpg,butcher
2481429,Canada Ribeye Bone In Aaa+,Butcher,Beef,Fresh Beef,,Refrigerated,51.98,51.98,Each,1.0,kg,Weighted,,Canada,No,https://www.greens.com.mt/media/products/0903/2481429.jpg,butcher
2481427,Canada Striploin Aaa+,Butcher,Beef,Fresh Beef,,Refrigerated,41.48,41.48,Each,1.0,kg,Weighted,,Canada,No,https://www.greens.com.mt/media/products/0804/2481427.jpg,butcher
2481432,Canadian Beef Fillet,Butcher,Beef,Fresh Beef,,Refrigerated,78.0,78.0,Each,1.0,kg,Weighted,,Canada,No,https://www.greens.com.mt/media/products/noimages.jpg,butcher
2481419,Canadian Lucerto,Butcher,Beef,Fresh Beef,Greens Products,Refrigerated,15.5,15.5,Each,1.0,kg,Weighted,,,No,https://www.greens.com.mt/media/products/0901/2481419.jpg,butcher
2480414,Carvery Rib Scottona,Butcher,Beef,Fresh Beef,,Refrigerated,31.2,31.2,Each,1.0,kg,Weighted,,Italia,No,https://www.greens.com.mt/media/products/0903/2480414.jpg,butcher
